Date,Adj Close,Close,High,Low,Open,Volume,Return,Log_Return,Volatility_20,SMA_20,SMA_50,Momentum_20,Volume_Change,Drawdown
2023-05-15,18398.849609375,18398.849609375,18458.900390625,18287.900390625,18339.30078125,216100,0.004589120522186851,0.004578622613795238,0.08392267017695533,17997.94755859375,17598.702109375,0.03201983449489565,-0.10591642532064538,-0.021988060631229267
2023-05-16,18286.5,18286.5,18432.349609375,18264.349609375,18432.349609375,219500,-0.006106338807060685,-0.0061250587396132535,0.08303383034463843,18026.930078125,17616.578125,0.0327359413680286,0.01573345673299409,-0.027960132890365474
2023-05-17,18181.75,18181.75,18309.0,18115.349609375,18300.44921875,229900,-0.005728269488420423,-0.005744738948538704,0.08582568652132118,18053.01005859375,17634.134140625,0.029535400199756756,0.04738041002277904,-0.033528239202657795
2023-05-18,18129.94921875,18129.94921875,18297.19921875,18104.849609375,18287.5,272100,-0.002849053652701161,-0.0028531199312594804,0.08614128738233337,18078.57001953125,17647.7151171875,0.029014499822632045,0.18355806872553293,-0.03628176910299008
2023-05-19,18203.400390625,18203.400390625,18218.099609375,18060.400390625,18186.150390625,260900,0.0040513721791914925,0.004043187469679982,0.08651859752733461,18107.517578125,17665.3451171875,0.03284931998096563,-0.041161337743476634,-0.032377387873754104
2023-05-22,18314.400390625,18314.400390625,18335.25,18178.849609375,18201.099609375,262600,0.006097761825706316,0.0060792457091855085,0.08768901598271689,18142.03505859375,17679.7461328125,0.039170881765130616,0.006515906477577715,-0.02647705564784053
2023-05-23,18348.0,18348.0,18419.75,18324.19921875,18362.900390625,270400,0.001834600568861644,0.0018329197446846867,0.08581539196945538,18172.2650390625,17692.4771484375,0.03407461907326681,0.02970297029702973,-0.02469102990033223
2023-05-24,18285.400390625,18285.400390625,18392.599609375,18262.94921875,18294.80078125,232600,-0.0034117947119577385,-0.003417628155656871,0.08770357483121147,18198.07255859375,17703.0971484375,0.029047393144055134,-0.139792899408284,-0.028018583887043147
2023-05-25,18321.150390625,18321.150390625,18338.099609375,18202.400390625,18268.900390625,235900,0.001955111686716471,0.0019532029433287895,0.0876378835852342,18223.45009765625,17717.7281640625,0.028492320046470843,0.014187446259673164,-0.026118251661129577
2023-05-26,18499.349609375,18499.349609375,18508.55078125,18333.150390625,18368.349609375,198700,0.009726420827874671,0.009679423693686186,0.09129959290282202,18252.6650390625,17739.4571484375,0.032614969126212534,-0.15769393810936838,-0.016645867940199288
