Date,Close,Actual,Future_Return,Prediction,HOLD_Probability,BUY_Probability,SELL_Probability,Regime
2025-04-17,23851.650390625,1,0.011483498464016417,1,0.356634,0.4532054,0.19016057,0
2025-04-21,24125.55078125,0,0.0017284255654137493,1,0.148122,0.81048775,0.04139022,2
2025-04-22,24167.25,1,0.006690840652122221,0,0.6047551,0.2063856,0.18885931,2
2025-04-23,24328.94921875,0,-0.0033807460922566923,0,0.5060391,0.36708647,0.12687445,2
2025-04-24,24246.69921875,2,-0.00855166336268387,0,0.438926,0.28252238,0.27855167,2
2025-04-25,24039.349609375,1,0.012028211882747275,1,0.32330072,0.37082064,0.3058787,2
2025-04-28,24328.5,0,0.0003061930965739812,0,0.55480313,0.3166425,0.12855437,2
2025-04-29,24335.94921875,0,-7.191007773188485e-05,0,0.3911826,0.29720244,0.31161496,2
2025-04-30,24334.19921875,0,0.0005136803511647248,0,0.4927714,0.26446933,0.24275927,2
2025-05-02,24346.69921875,0,0.004700890697612925,0,0.48290566,0.37075183,0.14634249,2
2025-05-05,24461.150390625,0,-0.0033338898599493128,0,0.547101,0.3136705,0.13922848,2
2025-05-06,24379.599609375,0,0.0014274549954715887,0,0.56482667,0.1986096,0.23656377,2
2025-05-07,24414.400390625,2,-0.005758880297096702,0,0.7576795,0.15798296,0.084337525,2
2025-05-08,24273.80078125,2,-0.0109501096942064,0,0.47287026,0.25675493,0.27037477,2
2025-05-09,24008.0,1,0.038183073090219954,2,0.38989675,0.21608214,0.39402112,2
2025-05-12,24924.69921875,2,-0.01389583907654357,2,0.34497976,0.11807307,0.5369472,2
2025-05-13,24578.349609375,0,0.0036027960647213586,2,0.21292572,0.18712424,0.5999501,2
2025-05-14,24666.900390625,1,0.01602143814146184,0,0.75265115,0.16719832,0.080150515,2
2025-05-15,25062.099609375,0,-0.0016877607536591732,1,0.3314874,0.44131792,0.2271947,2
2025-05-16,25019.80078125,0,-0.0029717088137536374,0,0.63448876,0.18530118,0.18021005,2
2025-05-19,24945.44921875,2,-0.010484831354666824,0,0.39122862,0.2689592,0.3398122,2
2025-05-20,24683.900390625,1,0.00524831270888626,0,0.50077826,0.20905733,0.29016444,0
2025-05-21,24813.44921875,2,-0.008211272774042211,0,0.6894186,0.23651901,0.07406237,0
2025-05-22,24609.69921875,1,0.009892488718005854,0,0.5010663,0.30602115,0.19291255,0
2025-05-23,24853.150390625,1,0.005954979456279652,0,0.5486626,0.22547482,0.22586255,0
2025-05-26,25001.150390625,2,-0.0069977248703164685,0,0.64126724,0.14873762,0.20999512,0
2025-05-27,24826.19921875,0,-0.0029706520659956714,1,0.29641655,0.6097591,0.09382431,0
